,id,label,sentence1
0,0.0,None,"LOCATION2 , LOCATION1 general"
1,0.0,None,"LOCATION2 , LOCATION1 price"
2,0.0,None,"LOCATION2 , LOCATION1 safety"
3,0.0,None,"LOCATION2 , LOCATION1 transit location"
5,1000.0,Negative,LOCATION1 price is one of the most expensive areas of London
8,1001.0,None,"The Hard Rock Cafe is close by , just by LOCATION1 general"
9,1001.0,None,"The Hard Rock Cafe is close by , just by LOCATION1 price"
10,1001.0,None,"The Hard Rock Cafe is close by , just by LOCATION1 safety"
11,1001.0,None,"The Hard Rock Cafe is close by , just by LOCATION1 transit location"
13,1002.0,Positive,"Alternatively , LOCATION1 price 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month"
15,1002.0,Positive,"Alternatively , LOCATION1 transit location 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month"
16,1003.0,Positive,"LOCATION1 general , SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London"
20,1004.0,Positive,Will add to it when I think of more lol at first answer LOCATION1 general ai n't that bad
26,1005.0,Positive,In fact I 've never once even seen a fight on the streets in LOCATION1 safety and I go out all the time during the week
28,1006.0,None,But then again a cold wet afternoon in LOCATION1 general or LOCATION2 can also be amazing
29,1006.0,None,But then again a cold wet afternoon in LOCATION1 price or LOCATION2 can also be amazing
30,1006.0,None,But then again a cold wet afternoon in LOCATION1 safety or LOCATION2 can also be amazing
31,1006.0,None,But then again a cold wet afternoon in LOCATION1 transit location or LOCATION2 can also be amazing
33,1007.0,Positive,"If your budget wo n't stretch to those , you could try a bit further down the road in LOCATION1 price"
36,1008.0,None,"Thanks in advance Yes , LOCATION1 general is the London station for Coventry"
37,1008.0,None,"Thanks in advance Yes , LOCATION1 price is the London station for Coventry"
38,1008.0,None,"Thanks in advance Yes , LOCATION1 safety is the London station for Coventry"
39,1008.0,None,"Thanks in advance Yes , LOCATION1 transit location is the London station for Coventry"
