	id	label	sentence1
0	3121	None	price But the staff was so horrible to us.
1	3121	None	anecdotes But the staff was so horrible to us.
2	3121	None	food But the staff was so horrible to us.
3	3121	None	ambience But the staff was so horrible to us.
4	3121	Negative	service But the staff was so horrible to us.
5	2777	None	price To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.
6	2777	Negative	anecdotes To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.
7	2777	Positive	food To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.
8	2777	None	ambience To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.
9	2777	None	service To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.
10	1634	None	price The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.
11	1634	None	anecdotes The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.
12	1634	Positive	food The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.
13	1634	None	ambience The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.
14	1634	None	service The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.
15	2534	None	price Where Gabriela personaly greets you and recommends you what to eat.
16	2534	None	anecdotes Where Gabriela personaly greets you and recommends you what to eat.
17	2534	None	food Where Gabriela personaly greets you and recommends you what to eat.
18	2534	None	ambience Where Gabriela personaly greets you and recommends you what to eat.
19	2534	Positive	service Where Gabriela personaly greets you and recommends you what to eat.
20	583	None	price For those that go once and don't enjoy it, all I can say is that they just don't get it.
21	583	Positive	anecdotes For those that go once and don't enjoy it, all I can say is that they just don't get it.
22	583	None	food For those that go once and don't enjoy it, all I can say is that they just don't get it.
23	583	None	ambience For those that go once and don't enjoy it, all I can say is that they just don't get it.
24	583	None	service For those that go once and don't enjoy it, all I can say is that they just don't get it.
25	2846	None	price Not only was the food outstanding, but the little 'perks' were great.
26	2846	None	anecdotes Not only was the food outstanding, but the little 'perks' were great.
27	2846	Positive	food Not only was the food outstanding, but the little 'perks' were great.
28	2846	None	ambience Not only was the food outstanding, but the little 'perks' were great.
29	2846	Positive	service Not only was the food outstanding, but the little 'perks' were great.
30	1571	Negative	price It is very overpriced and not very tasty.
31	1571	None	anecdotes It is very overpriced and not very tasty.
32	1571	Negative	food It is very overpriced and not very tasty.
33	1571	None	ambience It is very overpriced and not very tasty.
34	1571	None	service It is very overpriced and not very tasty.
35	1458	None	price Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
36	1458	None	anecdotes Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
37	1458	Positive	food Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
38	1458	None	ambience Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
39	1458	Positive	service Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
40	3161	None	price The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.
41	3161	None	anecdotes The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.
42	3161	Positive	food The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.
43	3161	None	ambience The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.
44	3161	None	service The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.
45	2391	None	price Nevertheless the food itself is pretty good.
46	2391	None	anecdotes Nevertheless the food itself is pretty good.
47	2391	Positive	food Nevertheless the food itself is pretty good.
48	2391	None	ambience Nevertheless the food itself is pretty good.
49	2391	None	service Nevertheless the food itself is pretty good.
50	986	None	price i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.
51	986	None	anecdotes i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.
52	986	None	food i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.
54	986	None	service i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.
55	296	None	price They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.
